date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,NSM_sin,NSM_cos,Day_of_week_sin,Day_of_week_cos,WeekStatus
2018-12-11 04:00:00,3.85,3.1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0
2018-12-11 04:15:00,4.18,3.89,0.8968727415326884,0.4422886902190012,0.7818314824680298,0.6234898018587336,0
2018-12-11 04:30:00,3.49,2.63,0.9238795325112868,0.3826834323650898,0.7818314824680298,0.6234898018587336,0
2018-12-11 04:45:00,3.56,2.66,0.9469301294951056,0.3214394653031617,0.7818314824680298,0.6234898018587336,0
2018-12-11 05:00:00,3.56,2.63,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,0
2018-12-11 05:15:00,3.74,2.92,0.9807852804032304,0.1950903220161283,0.7818314824680298,0.6234898018587336,0
2018-12-11 05:30:00,4.18,3.92,0.9914448613738104,0.1305261922200517,0.7818314824680298,0.6234898018587336,0
2018-12-11 05:45:00,4.25,3.85,0.9978589232386036,0.065403129230143,0.7818314824680298,0.6234898018587336,0
2018-12-11 06:00:00,4.28,3.92,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0
2018-12-11 06:15:00,3.56,2.7,0.9978589232386036,-0.0654031292301431,0.7818314824680298,0.6234898018587336,0
2018-12-11 06:30:00,3.53,2.66,0.9914448613738104,-0.1305261922200513,0.7818314824680298,0.6234898018587336,0
2018-12-11 06:45:00,3.6,3.1,0.9807852804032304,-0.1950903220161282,0.7818314824680298,0.6234898018587336,0
2018-12-11 07:00:00,3.49,2.95,0.9659258262890684,-0.2588190451025208,0.7818314824680298,0.6234898018587336,0
2018-12-11 07:15:00,4.1,3.6,0.9469301294951056,-0.3214394653031613,0.7818314824680298,0.6234898018587336,0
2018-12-11 07:30:00,4.07,3.78,0.9238795325112868,-0.3826834323650897,0.7818314824680298,0.6234898018587336,0
2018-12-11 07:45:00,4.86,3.46,0.8968727415326884,-0.4422886902190011,0.7818314824680298,0.6234898018587336,0
2018-12-11 08:00:00,14.83,10.55,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0
2018-12-11 08:15:00,44.21,31.14,0.8314696123025453,-0.555570233019602,0.7818314824680298,0.6234898018587336,0
2018-12-11 08:30:00,54.04,36.9,0.7933533402912352,-0.6087614290087207,0.7818314824680298,0.6234898018587336,0
2018-12-11 08:45:00,61.74,40.57,0.7518398074789774,-0.6593458151000688,0.7818314824680298,0.6234898018587336,0
2018-12-11 09:00:00,69.48,32.47,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0
2018-12-11 09:15:00,75.38,37.01,0.659345815100069,-0.7518398074789773,0.7818314824680298,0.6234898018587336,0
