date,Actual Usage (kWh),Predicted Usage (kWh)
2018-10-21 00:00:00,3.31,3.571777179883793
2018-10-21 00:15:00,2.74,2.9654018969554454
2018-10-21 00:30:00,2.74,2.2972198768053205
2018-10-21 00:45:00,2.77,1.696049701180309
2018-10-21 01:00:00,2.81,1.1967633014544845
2018-10-21 01:15:00,2.84,0.8030515055544675
2018-10-21 01:30:00,2.77,0.5016894198022783
2018-10-21 01:45:00,2.74,0.2781169462576509
2018-10-21 02:00:00,2.77,0.12045225460082297
2018-10-21 02:15:00,2.77,0.17577243085950617
2018-10-21 02:30:00,2.74,0.23496966755017643
2018-10-21 02:45:00,3.13,0.1713250246085227
2018-10-21 03:00:00,3.85,0.1173936628736556
2018-10-21 03:15:00,3.89,0.07443135360255843
2018-10-21 03:30:00,2.92,0.06390072641894226
2018-10-21 03:45:00,2.74,0.12399614550173288
2018-10-21 04:00:00,2.81,0.18380414621904498
2018-10-21 04:15:00,2.81,0.44896049974486235
2018-10-21 04:30:00,2.77,0.8151665826141835
2018-10-21 04:45:00,2.77,1.1903884519264103
2018-10-21 05:00:00,2.81,1.5812889369390906
2018-10-21 05:15:00,2.77,1.9940617069508881
2018-10-21 05:30:00,2.81,2.443062523407862
2018-10-21 05:45:00,2.81,3.0856876056361946
2018-10-21 06:00:00,2.81,3.836593346828595
2018-10-21 06:15:00,2.74,4.63181358281523
2018-10-21 06:30:00,2.74,5.584952106643468
2018-10-21 06:45:00,3.06,6.797093873247504
2018-10-21 07:00:00,3.31,8.067551535069942
2018-10-21 07:15:00,2.74,9.391920349523424
2018-10-21 07:30:00,2.77,10.669009965583681
2018-10-21 07:45:00,2.74,11.888468831181525
2018-10-21 08:00:00,3.42,13.870321752130986
2018-10-21 08:15:00,3.17,16.3507849098742
2018-10-21 08:30:00,2.74,18.948045460432766
2018-10-21 08:45:00,2.88,21.207241385877133
2018-10-21 09:00:00,3.02,21.832827667444946
2018-10-21 09:15:00,2.99,21.715807974487543
2018-10-21 09:30:00,3.06,20.90046045348048
2018-10-21 09:45:00,3.56,19.441749375909566
2018-10-21 10:00:00,3.35,17.917981824949383
2018-10-21 10:15:00,2.99,15.904985552281142
2018-10-21 10:30:00,2.99,13.103194275572896
2018-10-21 10:45:00,2.99,9.72927091963589
2018-10-21 11:00:00,3.02,5.7922394106909625
2018-10-21 11:15:00,2.95,1.33582888122648
2018-10-21 11:30:00,2.95,-3.5260015323013065
2018-10-21 11:45:00,3.02,-8.518770659044385
2018-10-21 12:00:00,2.99,-11.561950699090959
2018-10-21 12:15:00,3.1,-12.763735580667854
2018-10-21 12:30:00,3.02,-13.659693848639726
2018-10-21 12:45:00,3.1,-13.74038543201983
2018-10-21 13:00:00,3.5299999999999994,-12.554657806158067
2018-10-21 13:15:00,3.49,-10.966291854828597
2018-10-21 13:30:00,2.99,-9.05848621301353
2018-10-21 13:45:00,3.31,-6.248787563070655
2018-10-21 14:00:00,3.64,-2.668853725492954
2018-10-21 14:15:00,3.02,0.695007461514324
2018-10-21 14:30:00,2.99,5.349004925191402
2018-10-21 14:45:00,3.06,10.456111547723411
2018-10-21 15:00:00,2.99,15.081401698738336
2018-10-21 15:15:00,3.13,18.59433562077582
2018-10-21 15:30:00,3.8200000000000003,20.240809481963513
2018-10-21 15:45:00,10.37,19.700698727741838
2018-10-21 16:00:00,24.88,17.574201391637324
2018-10-21 16:15:00,24.62,14.93628573782742
2018-10-21 16:30:00,20.41,11.796357981413601
2018-10-21 16:45:00,3.92,8.35565027371049
2018-10-21 17:00:00,4.75,7.236671072319149
2018-10-21 17:15:00,3.49,7.006454013846814
2018-10-21 17:30:00,2.95,7.07582625363022
2018-10-21 17:45:00,2.95,7.301895393542945
2018-10-21 18:00:00,2.95,7.631521595083177
2018-10-21 18:15:00,2.99,8.810027273148298
2018-10-21 18:30:00,2.99,11.212756113037466
2018-10-21 18:45:00,3.02,13.701817121729254
2018-10-21 19:00:00,3.02,16.244481655582785
2018-10-21 19:15:00,3.06,19.745529256388544
2018-10-21 19:30:00,3.1,22.677065225094555
2018-10-21 19:45:00,3.02,24.50052143573761
2018-10-21 20:00:00,2.99,25.01936323091388
2018-10-21 20:15:00,3.49,24.098647688031196
2018-10-21 20:30:00,3.71,21.614412164241074
2018-10-21 20:45:00,3.24,17.43753059066832
2018-10-21 21:00:00,3.28,11.109752556309104
2018-10-21 21:15:00,3.67,4.122717206934467
2018-10-21 21:30:00,3.31,-2.757877073287964
2018-10-21 21:45:00,3.02,-3.2166989528387786
2018-10-21 22:00:00,3.06,-2.316283454746008
2018-10-21 22:15:00,2.88,-1.44034651434049
2018-10-21 22:30:00,2.88,-0.5244401768036187
2018-10-21 22:45:00,2.84,0.27631216101348405
2018-10-21 23:00:00,2.81,0.9081220045126975
2018-10-21 23:15:00,2.81,1.3726021524518728
2018-10-21 23:30:00,2.81,1.6635955645330252
2018-10-21 23:45:00,3.2,1.7995152604766191
2018-10-22 00:00:00,3.67,1.8283822811953725
2018-10-22 00:15:00,2.81,1.717820238955319
2018-10-22 00:30:00,2.81,1.5833960166946055
2018-10-22 00:45:00,2.88,1.4673994096182288
2018-10-22 01:00:00,2.88,1.3842838565073907
2018-10-22 01:15:00,2.88,1.1019054169766604
2018-10-22 01:30:00,2.84,0.6241832537576557
2018-10-22 01:45:00,2.99,0.4165602540411056
2018-10-22 02:00:00,3.5299999999999994,0.3975552759878338
2018-10-22 02:15:00,3.13,0.23448857860639696
2018-10-22 02:30:00,2.88,0.022397963535040668
2018-10-22 02:45:00,2.88,-0.3520733621157705
2018-10-22 03:00:00,3.4599999999999995,-0.9332647334970533
2018-10-22 03:15:00,3.24,-0.8635517457686365
2018-10-22 03:30:00,2.92,-0.3943895414285361
2018-10-22 03:45:00,2.92,-0.10013600794598455
2018-10-22 04:00:00,2.95,0.6177952121756971
2018-10-22 04:15:00,2.88,1.3913623758032918
2018-10-22 04:30:00,2.92,2.2561482414696368
2018-10-22 04:45:00,2.92,3.2086729137692602
2018-10-22 05:00:00,2.88,4.088082592189312
2018-10-22 05:15:00,2.88,1.9174199437722563
2018-10-22 05:30:00,2.84,-0.3028759829513728
2018-10-22 05:45:00,2.84,-2.5456803604215383
2018-10-22 06:00:00,2.84,-3.426920787170529
2018-10-22 06:15:00,2.81,-2.9283801595121624
2018-10-22 06:30:00,3.89,-1.4118123824708164
2018-10-22 06:45:00,4.1,0.9545748751051725
2018-10-22 07:00:00,2.84,4.260579502983019
2018-10-22 07:15:00,2.99,8.242922769859433
2018-10-22 07:30:00,3.6,12.63100519657135
2018-10-22 07:45:00,3.92,16.94166093289852
2018-10-22 08:00:00,3.9599999999999995,24.648782157748936
2018-10-22 08:15:00,13.5,31.99813039034605
2018-10-22 08:30:00,43.52,39.17857542410493
2018-10-22 08:45:00,48.349999999999994,48.122435421049595
2018-10-22 09:00:00,61.129999999999995,56.34706464022398
2018-10-22 09:15:00,47.41,64.1378627821803
2018-10-22 09:30:00,48.38,69.8135312089324
2018-10-22 09:45:00,49.1,74.21321478396654
2018-10-22 10:00:00,53.6,76.50666064947845
2018-10-22 10:15:00,49.39,76.67995596021414
2018-10-22 10:30:00,40.75,72.50499312877655
2018-10-22 10:45:00,41.94,66.48220864385367
2018-10-22 11:00:00,63.97,59.67910126030445
2018-10-22 11:15:00,58.1,54.43632531017065
2018-10-22 11:30:00,94.0,48.63913729667664
2018-10-22 11:45:00,88.42,45.57475902944803
2018-10-22 12:00:00,112.61,42.99994405686855
2018-10-22 12:15:00,5.44,42.563876505494115
2018-10-22 12:30:00,5.26,36.57327838659286
2018-10-22 12:45:00,4.61,31.67674950316548
2018-10-22 13:00:00,4.46,31.863162767738103
2018-10-22 13:15:00,25.56,34.36134481862187
2018-10-22 13:30:00,63.11,38.76528577819467
2018-10-22 13:45:00,120.27999999999999,46.18073574393988
2018-10-22 14:00:00,85.97,57.97036315023899
2018-10-22 14:15:00,99.97,68.4216493922472
2018-10-22 14:30:00,105.73,77.90906916379929
2018-10-22 14:45:00,92.56,84.99859343945981
2018-10-22 15:00:00,65.63,88.42605744779111
2018-10-22 15:15:00,40.43,88.86572671055795
2018-10-22 15:30:00,47.84,87.08935546636582
2018-10-22 15:45:00,46.50999999999999,85.16498172760011
2018-10-22 16:00:00,50.65,83.17789689421654
